Уровень,Категория,Элемент,Рекомендуемая спецификация,Кол-во,Обязательно,Замечания/риски,Ссылка/поставщик (заполнить),Цена (заполнить)
low,Механика,Сосуд (широкий),"Ø 240–300 мм, материал: пластик/нерж. сталь; можно с крышкой-кольцом",1,Да,Большая площадь снижает рост уровня воды,,
low,Механика,Брызгозащита,Кольцо/экран из акрила 3–5 мм,1,Да,Уменьшает брызги и защищает iPhone,,
low,Механика,Стойка/штатив,Регулируемый штатив/стойка с держателем iPhone,1,Да,Стабильность критична для видео/ROI,,
low,Измерение массы,Load cell,"5–10 кг, 4-проводный (или 4x 50 кг для платформы)",1,Да,Выбрать запас по массе сосуда+воды,,
low,Измерение массы,ADC,HX711 (24-bit) 10/80 Hz,1,Да,"Бюджетно, достаточно для v0.1",,
low,Электроника,MCU,Arduino/ESP32,1,Да,"USB питание, желательно изоляция",,
low,Синхронизация,LED,Яркий LED 5 мм или мини-панель,1,Да,Должен быть виден камерой iPhone,,
low,Синхронизация,Зуммер,Пьезо зуммер 3–5 В,1,Да,Beep должен быть различим в аудио,,
low,Поток,Источник,Емкость с водой + ручной клапан/кран + шланг,1,Да,"Повторяемость ниже, но достаточно для старта",,
low,ПО/логирование,ПК/ноутбук,Скрипт логирования массы и меток t0,1,Да,"Сохранение CSV, record_id, метаданные",,
low,Безопасность,Влагозащита электроники,Пластиковый корпус IP54+,1,Да,Обязателен каплеотбойник и размещение выше брызг,,
low,Примечание:,,,,,,,
low,,Low: допускается ручное управление профилем. Основная цель - быстро собрать репликабельный эталон массы и начать сбор данных.,,,,,,
mid,Механика,Сосуд (широкий),"Ø 260–320 мм, с метками уровня воды",1,Да,"Стабильная геометрия, легко повторять",,
mid,Механика,Брызгозащита,Кольцо + боковой экран (U-образный),1,Да,Защита iPhone и электроники,,
mid,Механика,Крепление сопла,Держатель шланга с регулировкой высоты/угла,1,Да,Позволяет варьировать 0.2/0.4/0.6 м,,
mid,Измерение массы,Load cell,"10–20 кг, single-point platform (лучше линейность)",1,Да,Запас по массе и меньший дрейф,,
mid,Измерение массы,ADC,NAU7802/аналоги (≥80 Hz) или HX711 стабильный,1,Да,"Ниже шум, удобнее калибровать",,
mid,Электроника,MCU,ESP32 или STM32,1,Да,Нужна стабильная частота логирования,,
mid,Поток,Насос,Перистальтический насос 12 В (регулировка PWM),1,Да,Управляемый профиль Q(t),,
mid,Поток,Драйвер насоса,MOSFET + диод; или готовый PWM-драйвер,1,Да,Защита от ЭДС,,
mid,Синхронизация,LED+зуммер,Управление от MCU; фиксированный шаблон импульса,1,Да,Упрощает обнаружение t0,,
mid,Шум,Генератор шума,Колонка/динамик + заранее записанные шумовые треки,1,Нет,Для обучения устойчивости и детектора артефактов,,
mid,Датчики,Температура воды,DS18B20 или аналог,1,Нет,Для коррекции ρ(T) (High точность),,
mid,ПО/логирование,ПО стенда,"GUI или CLI: сценарии профилей, метаданные",1,Да,Репликабельность и регрессия,,
mid,Примечание:,,,,,,,
mid,,Mid: основной рабочий вариант для обучения и регрессионных тестов. Рекомендуется для большинства команд.,,,,,,
high,Эталон,Лабораторные весы,Лаб. весы с цифровым выходом (≥100 Hz) или DAQ,1,Да,"Трассируемость, низкий шум",,
high,Эталон,Проверочный расходомер,Расходомер (ультразв./турбинный) в линии (опционально),1,Нет,Верификация профиля Q(t),,
high,Поток,Насос/клапан,Управляемый насос + электроклапан,1,Да,Сценарии plateau/bell/intermittent,,
high,ПО,Сценарный контроллер,"ПК/MCU: библиотека профилей, повторяемые траектории",1,Да,Автоматизация серии испытаний,,
high,Климат,Контроль температуры,Термодатчик + протокол коррекции,1,Нет,Снижает систематическую ошибку,,
high,Шум,Акустическая модель,Микрофон измерительный (опционально),1,Нет,Калибровка шумовых сценариев,,
high,Механика,Сменные экраны/оболочки,Сменные «формы» чаши вокруг сосуда,1,Нет,Имитация разных туалетов,,
high,Примечание:,,,,,,,
high,,High: вариант для финальной оценки ошибок и трассируемости. Может потребовать лабораторного оборудования.,,,,,,
