canonical_field,source_system,source_field,mapping_type,transform_note
abs_pct_error_qmax,repo,abs_pct_error_qmax,derived,
ae_description,zip,ae_description,direct,
ae_occurred,zip,ae_occurred,direct,
ae_related,zip,ae_related,direct,
age_years,repo,age_years,direct,
age_years,zip,age_years,direct,
app_curve_class,docx,pattern_class,mapped,rename to app_curve_class
app_curve_class,zip,pattern_app,rename,
app_flow_time_s,docx,flow_time,mapped,rename to app_flow_time_s
app_flow_time_s,repo,app_flow_time_s,direct,
app_flow_time_s,zip,flowtime_app,rename,
app_qavg_ml_s,docx,qavg,mapped,rename to app_qavg_ml_s
app_qavg_ml_s,repo,app_qavg_ml_s,direct,
app_qavg_ml_s,zip,qavg_app,rename,
app_qmax_ml_s,docx,qmax,mapped,rename to app_qmax_ml_s
app_qmax_ml_s,repo,app_qmax_ml_s,direct,
app_qmax_ml_s,zip,qmax_app,rename,
app_tqmax_s,docx,tqmax,mapped,rename to app_tqmax_s
app_tqmax_s,repo,app_tqmax_s,direct,
app_tqmax_s,zip,tqmax_app,rename,
app_version,docx,app_version,direct,
app_version,repo,app_version,direct,
app_version,zip,app_version,direct,
app_vvoid_ml,docx,vvoid,mapped,rename to app_vvoid_ml
app_vvoid_ml,repo,app_vvoid_ml,direct,
app_vvoid_ml,zip,vvoid_app,rename,
attempt_number,repo,attempt_number,direct,
attempt_number,zip,attempt_number,direct,
audio_sample_rate_hz,docx,audio_sample_rate,mapped,rename to audio_sample_rate_hz
capture_fps,docx,capture_fps,direct,
capture_mode,docx,mode,rename,
comments_conditions,zip,comments_conditions,direct,
consent_level,docx,consent_level,direct,
consent_signed,zip,consent_signed,direct,
delta_qavg,repo,delta_qavg,derived,
delta_qmax,repo,delta_qmax,derived,
delta_vvoid,repo,delta_vvoid,derived,
deviation_comment,repo,deviation_comment,direct,
device_model,docx,device_model,direct,
device_model,zip,device_model,direct,
diagnostic_group,repo,diagnostic_group,direct,
diagnostic_group,zip,primary_condition,rename,
environment_noise_level,docx,environment_noise_level,direct,
environment_noise_level,zip,ambient_noise_level,rename,
export_destination,docx,export_destination,direct,
export_format,docx,export_format,direct,
flow_end_time_s,docx,flow_end_time,rename,
flow_start_time_s,docx,flow_start_time,rename,
flush_detected,docx,flush_detected,direct,
flush_during_recording,zip,flush_during_recording,direct,
