Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,identification,Record,text,Record ID,,Autogenerated import profile v1.1,,,,,,y,,,,,
app_curve_class,app_output,Smartphone App Output,dropdown,Паттерн кривой (приложение),"1, Bell | 2, Plateau | 3, Intermittent | 4, Other",Conditional field.,,,,,,,,,,,
app_flow_time_s,app_output,,text,Длительность потока (приложение),,Units: s,number,,,,,y,,,,,
app_qavg_ml_s,app_output,,text,Qavg (приложение),,Units: ml/s,number,,,,,y,,,,,
app_qmax_ml_s,app_output,,text,Qmax (приложение),,Units: ml/s,number,,,,,y,,,,,
app_tqmax_s,app_output,,text,Время до Qmax (приложение),,Units: s,number,,,,,y,,,,,
app_vvoid_ml,app_output,,text,Vvoid (приложение),,Units: ml,number,,,,,y,,,,,
intermittency_index,app_output,,text,Индекс интермиттирующести,,Conditional field.,number,,,,,,,,,,
q_curve_sampling_hz,app_output,,text,Частота дискретизации кривой Q(t),,Units: Hz,number,,,,,y,,,,,
q_curve_series,app_output,,notes,Массив значений Q(t),,Units: ml/s,,,,,,,,,,,@HIDDEN
q_curve_uncertainty_series,app_output,,notes,Неопределённость σ(t) или доверие по времени,,Units: ml/s Conditional field.,,,,,,,,,,,@HIDDEN
app_version,capture_setup,Capture Setup,text,Версия приложения,,,,,,,,y,,,,,
audio_sample_rate_hz,capture_setup,,text,Частота дискретизации аудио,,Units: Hz,integer,,,,,y,,,,,
capture_fps,capture_setup,,text,Фактическая частота кадров,,Units: fps,integer,,,,,y,,,,,
capture_mode,capture_setup,,dropdown,Режим измерения,"1, Fallback non-water | 2, Jet in air assist | 3, Water impact",,,,,,,y,,,,,
device_model,capture_setup,,text,Модель iPhone,,,,,,,,y,,,,,
ios_version,capture_setup,,text,Версия iOS,,,,,,,,y,,,,,
lidar_available,capture_setup,,yesno,LiDAR доступен,,,,,,,,y,,,,,
model_hash,capture_setup,,text,Model artifact hash,,,,,,,,y,,,,,
model_id,capture_setup,,text,Версия ML-модели (model_id),,,,,,,,y,,,,,
model_version,capture_setup,,text,Model version,,,,,,,,y,,,,,
pour_calibration_done,capture_setup,,yesno,Pour Calibration выполнена,,,,,,,,y,,,,,
pour_calibration_volume_ml,capture_setup,,text,Объем pour calibration (если была),,Units: ml,number,,,,[pour_calibration_done]='1',,,,,,
recording_duration_s,capture_setup,,text,Длительность записи,,Units: s,number,,,,,y,,,,,
toilet_fingerprint_id,capture_setup,,text,Профиль туалета (локальный),,,,,,,,,,,,,
toilet_id,capture_setup,,text,Toilet ID (кабинка/унитаз),,,,,,,,y,,,,,
toilet_scan_done,capture_setup,,yesno,Toilet Scan выполнен,,,,,,,,y,,,,,
abs_pct_error_qmax,derived,Derived Metrics,calc,MAPE,"if([ref_qmax_ml_s]=0,'',abs([delta_qmax])/[ref_qmax_ml_s]*100)",,number,,,,,,,,,,
delta_qavg,derived,,calc,Bland-Altman,[app_qavg_ml_s] - [ref_qavg_ml_s],,number,,,,,,,,,,
delta_qmax,derived,,calc,Bland-Altman,[app_qmax_ml_s] - [ref_qmax_ml_s],,number,,,,,,,,,,
delta_vvoid,derived,,calc,Bland-Altman,[app_vvoid_ml] - [ref_vvoid_ml],,number,,,,,,,,,,
flow_end_time_s,event_timing,Event Timing,text,Конец потока относительно начала записи,,Units: s,number,,,,,y,,,,,
flow_start_time_s,event_timing,,text,Начало потока относительно начала записи,,Units: s,number,,,,,y,,,,,
operator_id,identification,Identification,text,Operator code,,,,,,,,y,,,,,
session_id,identification,,text,Идентификатор сессии мочеиспускания,,,,,,,,y,,,,,
site_id,identification,,text,Центр/сайт (код),,,,,,,,y,,,,,
study_id,identification,,text,Идентификатор участника (Study ID),,,,,,,,y,,,,,
subject_id,identification,,text,Псевдонимизированный идентификатор участника,,,,,,y,,y,,,,,
timezone,identification,,text,Часовой пояс устройства,,,,,,,,,,,,,
visit_datetime,identification,,text,Дата/время визита (локальное),,,datetime_ymd,,,y,,y,,,,,
visit_id,identification,,text,Visit identifier,,,,,,,,y,,,,,
export_destination,privacy_export,Privacy and Export,dropdown,Назначение экспорта,"1, EMR/EHR | 2, Local device",,,,,,,,,,,,
export_format,privacy_export,,dropdown,Формат экспорта,"1, FHIR Observation | 2, HL7 ORU^R01 | 3, PDF report",,,,,,,,,,,,
media_consent,privacy_export,,yesno,Согласие на сохранение медиа,,,,,,,,,,,,,
media_saved,privacy_export,,yesno,Медиа сохранены локально,,,,,,,,y,,,,,
notes_clinician,privacy_export,,notes,Комментарий врача,,,,,,,,,,,,,
pvr_available,pvr,PVR,yesno,PVR измеряли,,,,,,,,y,,,,,
pvr_delay_min,pvr,,text,Минут после мочеиспускания,,Units: min,number,,,,[pvr_available]='1',,,,,,
pvr_method,pvr,,dropdown,Метод PVR,"1, Bladder Scan | 2, Ultrasound",Conditional field.,,,,,[pvr_available]='1',,,,,,
pvr_ml,pvr,,text,PVR,,Units: ml Conditional field.,number,,,,[pvr_available]='1',,,,,,
deviation_comment,quality,Quality and Artifacts,text,Deviation comment,,,,,,,[protocol_deviation]='1',,,,,,
flush_detected,quality,,yesno,Обнаружен ли смыв/посторонняя вода,,,,,,,,y,,,,,
motion_score,quality,,text,Оценка движения телефона,,Conditional field.,number,,,,,,,,,,
overall_uncertainty,quality,,text,Неопределенность/Confidence (если реализовано),,Units: 0-1,number,,,,,,,,,,
protocol_deviation,quality,,yesno,SOP deviation,,,,,,,,y,,,,,
qr_low_snr,quality,,yesno,Low SNR,,,,,,,,y,,,quality_reason_binary,,
qr_low_volume,quality,,yesno,Low volume,,,,,,,,y,,,quality_reason_binary,,
qr_motion,quality,,yesno,Device motion,,,,,,,,y,,,quality_reason_binary,,
qr_not_in_water,quality,,yesno,Impact not in water,,,,,,,,y,,,quality_reason_binary,,
qr_other_text,quality,,text,Other reason,,,,,,,,,,,,,
qr_roi_lost,quality,,yesno,ROI lost,,,,,,,,y,,,quality_reason_binary,,
quality_flags,quality,,checkbox,Причины снижения качества (multi),"1, Noise | 2, Motion | 3, Roi Lost | 4, Not In Water | 5, Flush | 6, Low Volume | 7, Other",,,,,,,,,,,,
quality_notes,quality,,notes,Причина невалидности (если есть),,,,,,,[quality_status]='3',,,,,,
quality_score,quality,,text,Quality score (0-100),,Units: score,integer,,,,,y,,,,,
quality_status,quality,,dropdown,Результат невалиден (флаг),"1, Valid | 2, Repeat needed | 3, Rejected",,,,,,,y,,,,,
repeat_reason,quality,,text,Repeat reason,,,,,,,([quality_status]='2' or [quality_status]='3'),,,,,,
repeat_required,quality,,yesno,Repeat required,,,,,,,,y,,,,,
roi_visibility,quality,,dropdown,Видимость воды/ROI,"1, ROI visible | 2, ROI partially visible | 3, ROI lost",,,,,,,y,,,,,
ref_artifacts,reference_uroflow,Reference Uroflow,notes,Артефакты/заметки (референс),,,,,,,,,,,,,
ref_curve_class,reference_uroflow,,dropdown,Паттерн кривой (референс),"1, Bell | 2, Plateau | 3, Intermittent | 4, Other",,,,,,,,,,,,
ref_flow_time_s,reference_uroflow,,text,Длительность потока (референс),,Units: s,number,,,,,y,,,,,
ref_qavg_ml_s,reference_uroflow,,text,Qavg (референс),,Units: ml/s,number,,,,,y,,,,,
ref_qmax_ml_s,reference_uroflow,,text,Qmax (референс),,Units: ml/s,number,,,,,y,,,,,
ref_tqmax_s,reference_uroflow,,text,Время до Qmax (референс),,Units: s,number,,,,,,,,,,
ref_vvoid_ml,reference_uroflow,,text,Vvoid (референс),,Units: ml,number,,,,,y,,,,,
