Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
"[CAP-01] Unified capture timestamps for audio/video/IMU","Implement synchronized capture clock and export trace logs; DoD: max drift <= 50 ms on 20 validation sessions.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:capture",5
"[CAP-02] Depth availability and validity flags in capture contract","Add depth availability, confidence validity, and fallback reason fields in ios_capture_v1 payload.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:capture",3
"[CAP-03] AR onboarding for ROI water positioning","Build AR setup flow with green ROI zone and readiness checks for angle, water visibility, and exposure.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:ux",5
"[CAP-04] Freeze ios_capture_v1 contract and version policy","Publish final schema, compatibility policy, and validation checklist; tag as contract freeze for pilot.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:data-contract",3
"[CAP-05] Offline replay pipeline for reproducible inference","Implement deterministic replay from capture payload to fusion outputs with model/config hash tracing.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:mlops",5
"[CAP-06] Capture quality telemetry dashboard stub","Create basic dashboard feed for ROI loss, motion, low-SNR, and reject/repeat rates.",Medium,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:ops",2
"[CLN-01] Clinical operator SOP rollout in pilot site","Train at least 2 operators and record competency checklist completion for site readiness.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:clinical",3
"[GOV-01] Intended use and non-claims freeze memo","Finalize intended use wording and non-claims boundaries; sign off by RA/QA and Clinical Lead.",Urgent,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g0,epic:governance",2
"[ML-01] Late-fusion baseline training pipeline","Train baseline audio/video/geometry model with reproducible run metadata and artifact registry.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:model",5
"[ML-02] Uncertainty calibration for sigma outputs","Calibrate sigma_h/sigma_V/sigma_Q against validation set; add uncertainty coverage report.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:model",3
"[ML-03] Quality score and valid/repeat/reject policy","Tune policy thresholds and document trigger reasons for each status class.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:quality",3
"[BEN-01] Bench stress pack execution","Run noise/tilt/lighting/toilet scenarios and generate MAE-RMSE comparison summary.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:bench",5
"[BEN-02] Leave-one-toilet-out generalization test","Evaluate robustness across unseen toilets and propose mitigations for outlier failures.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:bench",3
"[DATA-01] Dataset lineage and leakage validation","Publish dataset card, split strategy, and leakage check report with signed review.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:data",3
"[SEC-01] Pilot threat and privacy risk workshop","Create risk register with owners, severities, and mitigation deadlines.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g1,epic:security",2
"[ETH-01] ICF package finalization for site submission","Finalize ICF language with PI and legal review; prepare versioned approval copy.",Urgent,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:ethics",3
"[ETH-02] eCRF build and data dictionary approval","Implement eCRF fields from dictionary and validate mandatory logic before pilot dry run.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:ethics",3
"[ETH-03] Data handling appendix and retention controls","Approve retention, de-identification, and role-based access controls for pilot dataset.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:ethics",2
"[CLN-02] Statistical Analysis Plan v1.0","Freeze SAP with primary and secondary endpoint methods before first patient enrolled.",Urgent,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:clinical",3
"[GOV-02] Claims governance rollout to product and marketing","Adopt claim registry and release gate checks for app UI, report templates, and website text.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:governance",2
"[QA-01] Pilot release checklist and DHF index","Publish checklist and evidence index; close all blocking compliance gaps.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g2,epic:quality",2
"[DRY-01] Clinical dry-run sessions (10-15 records)","Execute dry-run protocol and capture corrective action list with owners and deadlines.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:clinical-ops",3
"[DRY-02] Model freeze release fusion_v0.1.0","Freeze model artifact and add hash injection into every generated summary report.",Urgent,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:model-ops",2
"[DRY-03] End-to-end audit trail verification","Verify each session is traceable to app version, model hash, config, and operator action logs.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:data-ops",3
"[DRY-04] Incident response tabletop drill","Run access breach drill and close resulting corrective actions.",High,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:security",2
"[OPS-01] Pilot kickoff runbook and handoff","Deliver single runbook covering SOP flow, escalation, contacts, and daily reporting format.",Medium,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:operations",2
"[GATE-01] Go-NoGo governance board decision","Hold formal board review and publish signed go/no-go decision with blockers or launch approval.",Urgent,Backlog,,2026-02-24,,"project:mvp-v0.1,phase:g3,epic:governance",2
