file_name,size_bytes,category,selected_for_extraction
00_README_Uroflow_Project_Package_v1.1.txt,2525,text,no
Sample_Report.pdf,107049,pdf,no
Uroflow_Bench_and_Dataset_Templates_v1.0.xlsx,7970,xlsx,yes
Uroflow_Bench_BOM_and_Wiring_v1.0.xlsx,9985,xlsx,yes
Uroflow_Bench_BOM_Variants_v0.2.xlsx,13597,xlsx,no
Uroflow_Bench_SOP_BOM_v0.2.docx,124965,docx,no
Uroflow_Bench_SOP_BOM_v1.0.docx,107373,docx,no
Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,19999,xlsx,no
Uroflow_EDC_CRF_DataDictionary_v1.0_CSV.zip,7061,zip,no
Uroflow_ML_Training_Pipeline_Spec_v1.0.docx,118192,docx,no
Uroflow_Regulatory_Appendices_v1.0.docx,40904,docx,no
Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,13897,xlsx,yes
Uroflow_SAP_MethodComparison_v1.0.docx,43486,docx,no
Uroflow_Smartphone_Algorithm_and_Dataset_Spec_v1.0.docx,44013,docx,no
Uroflow_Smartphone_Algorithm_Spec_v1.1_Fusion_CoreML.docx,42067,docx,no
Uroflow_Smartphone_Design_Clinical_Package_v1.0.docx,43387,docx,no
Uroflow_Smartphone_Design_Controls_Pack_v1.0.docx,53420,docx,no
