Категория,Элемент,Рекомендуемая спецификация,Кол-во,Обязательность,Опции/альтернативы,Комментарий (риски/сборка)
Эталонный весовой канал,Load cell (тензодатчик),Диапазон 2-5 кг; чувствительность ~1-2 mV/V; стабильная механика,1,Обязательно,Вариант: 4 датчика по углам платформы,"Важно: минимизировать вибрации, обеспечить жесткое крепление"
Эталонный весовой канал,ADC/усилитель,Частота дискретизации >=20 Гц (предпочт. 80 Гц); низкий шум,1,Обязательно,HX711 (80 SPS) или промышленный усилитель + DAQ,HX711 достаточно для v1; для расширения - промышленный тракт
Эталонный весовой канал,Микроконтроллер/логгер,USB Serial + таймстампы; стабильная частота опроса,1,Обязательно,ESP32/Arduino; либо ПК+DAQ,Нужны таймстампы и идентификатор прогона
Эталонный весовой канал,Сборная емкость,Объем 1-3 л; широкое горло; устойчивость к брызгам,1,Обязательно,Сменные емкости для разных сценариев,Рекомендовано иметь шкалу уровня воды
Калибровка,Набор калибровочных грузов,"200 г, 500 г, 1000 г, 2000 г (класс по возможности M1)",1,Обязательно,Можно использовать проверенные лабораторные гири,Калибровка 3-5 точек по диапазону
Генератор потока,Перистальтический насос,Управление скоростью; диапазон 2-30 мл/с; стабильность,1,Рекомендуется,Альтернатива: гравитационный бак + клапан,Насос упрощает воспроизводимость профилей
Генератор потока,Резервуар (бак),5-20 л; возможность поднять на 0.2-0.8 м,1,Обязательно,Для гравитационного режима,Фиксация высоты влияет на скорость струи и звук
Генератор потока,Клапан/дроссель,Электроклапан или ручной кран; быстрое открытие/закрытие,1,Рекомендуется,PWM-клапан для сложных профилей,Для intermittent/staccato нужен быстрый клапан
Генератор потока,Набор сопел,Диаметры 3-8 мм; сменные; стабильная геометрия,1,Обязательно,3D-печать или стандартные фитинги,Диаметр влияет на звук/струю и видимость
Имитация чаши,Модуль 'вода' (ROI),Емкость/вставка с видимой поверхностью воды; регулируемый уровень,1,Обязательно,Пластик/керамика/вставка в короб,Важно: чтобы камера видела воду без тела/помех
Имитация чаши,Модуль 'фарфор/стенка',Наклонная пластина (керамика/эмаль) перед водой,1,Опционально,Для теста режима 'не в воду',Отдельная модель/калибровка для удара о стенку
Синхронизация,LED-индикатор,Яркий LED (мигание 0.5-1 с) в поле камеры,1,Рекомендуется,Можно вместо LED использовать экран телефона/монитор,Удобно для синхронизации видео
Синхронизация,Звуковой маркер (beep),Короткий сигнал 1-2 кГц 100-200 мс,1,Рекомендуется,Пьезоизлучатель или колонка,Должен быть заметен на аудио iPhone
Смартфон,Крепление iPhone,Штатив + держатель; фиксация угла/позиции,1,Обязательно,Настенный кронштейн/столик,Повторяемость важнее удобства
Смартфон,Освещение,Регулируемая LED-панель; устранение бликов,1,Рекомендуется,Диффузор/рассеиватель,Видео-канал чувствителен к бликам
Шумовые сценарии,Динамик/источник шума,Проигрывание fan/speech/flush,1,Опционально,Записи шума + колонка,Нужен для тренировки quality/robustness
Безопасность,УЗО/GFCI,Защита питания от утечки,1,Обязательно,Встроенное УЗО в удлинитель,Вода + электроника = критический риск
Безопасность,Защитные корпуса,IP54+ для электроники,1,Рекомендуется,Пластиковые боксы,Кабельные вводы и капельники
ПО/логирование,ПК для логирования,Windows/macOS/Linux; USB; хранение CSV,1,Обязательно,Может быть ноутбук,Хранение данных и постобработка
ПО/логирование,Скрипт логирования,"CSV: timestamp_ms, mass_g, run_id, marker",1,Обязательно,Python/любая утилита,Единый формат облегчает ML и QC
