record_id,Qmax_ref,Qmax_pred,V_ref,V_pred,Qavg_ref,Qavg_pred,AbsErr_Qmax,AbsErr_V,AbsErr_Qavg,MAPE_Qmax,MAPE_V,MAPE_Qavg
REC_001,,,,,,,,,,,,
REC_002,,,,,,,,,,,,
REC_003,,,,,,,,,,,,
REC_004,,,,,,,,,,,,
REC_005,,,,,,,,,,,,
REC_006,,,,,,,,,,,,
REC_007,,,,,,,,,,,,
REC_008,,,,,,,,,,,,
REC_009,,,,,,,,,,,,
REC_010,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Summary,,,,,,,,,,,,
MAE_Qmax,0,,,,,,,,,,,
MAE_V,0,,,,,,,,,,,
MAE_Qavg,0,,,,,,,,,,,
MAPE_Qmax,0,,,,,,,,,,,
MAPE_V,0,,,,,,,,,,,
MAPE_Qavg,0,,,,,,,,,,,
