file_name,sheet_name,sheet_rows,sheet_cols,sheet_exported,output_csv
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.2.xlsx,File_Index,190,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.2.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.3.xlsx,File_Index,203,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.3.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.4.xlsx,File_Index,214,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.4.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.5.xlsx,File_Index,220,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.5.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.6.xlsx,File_Index,220,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.6.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.6.xlsx,v2.6_additions,8,3,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.7.xlsx,File_Index,230,10,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.7.xlsx,Readiness_Gates,4,5,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.7.xlsx,v2.6_additions,8,3,no,
Submission_Build_v2.8/00_README_and_Indexes/Archive/Uroflow_Master_Submission_Index_v2.7.xlsx,v2.7_additions,9,1,no,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Milestones,6,9,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Workstreams,9,5,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Deliverables,9,7,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Milestones,6,9,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Launch_Readiness_Integrated_Plan_v1.0__Milestones.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Workstreams,9,5,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Launch_Readiness_Integrated_Plan_v1.0__Workstreams.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Launch_Readiness_Integrated_Plan_v1.0.xlsx,Deliverables,9,7,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Launch_Readiness_Integrated_Plan_v1.0__Deliverables.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,File_Index,230,10,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,Readiness_Gates,4,5,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.6_additions,8,3,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.7_additions,9,1,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.8_additions,13,4,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,File_Index,230,10,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Master_Submission_Index_v2.8__File_Index.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,Readiness_Gates,4,5,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Master_Submission_Index_v2.8__Readiness_Gates.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.6_additions,8,3,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Master_Submission_Index_v2.8__v2.6_additions.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.7_additions,9,1,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Master_Submission_Index_v2.8__v2.7_additions.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Master_Submission_Index_v2.8.xlsx,v2.8_additions,13,4,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Master_Submission_Index_v2.8__v2.8_additions.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,EU_MDR_Index,28,7,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,US_FDA_Index,11,6,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,DHF_Structure,13,1,yes,
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,EU_MDR_Index,28,7,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0__EU_MDR_Index.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,US_FDA_Index,11,6,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0__US_FDA_Index.csv
Submission_Build_v2.8/00_README_and_Indexes/Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0.xlsx,DHF_Structure,13,1,yes,sheets/Submission_Build_v2.8_00_README_and_Indexes_Uroflow_Submission_Ready_EvidencePack_Index_EU_US_v1.0__DHF_Structure.csv
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Claims_Evidence_Traceability_Matrix_v1.0.xlsx,Claims_Evidence,7,11,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Claims_Evidence_Traceability_Matrix_v1.0.xlsx,Legend,4,2,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Claims_Evidence_Traceability_Matrix_v1.0.xlsx,Standards_Guidance,9,3,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_DHF_Index_Status_Register_v1.0.xlsx,DHF_Index,20,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_DHF_Index_Status_Register_v1.0.xlsx,Open_Actions,7,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_DHF_Index_Status_Register_v1.1.xlsx,DHF_Index,30,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_DHF_Index_Status_Register_v1.1.xlsx,Open_Actions,7,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,README,5,1,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CodeLists,35,3,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,DataDictionary,56,11,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_01_Screening,8,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_02_TestConditions,10,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_03_ReferenceUroflow,8,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_04_SmartphoneResult,14,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_05_PVR,5,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_EDC_CRF_DataDictionary_v1.0.xlsx,CRF_06_AE,4,7,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,Complaint_Log,1,14,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,Incident_Log,1,14,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,Trend_Monitoring,1,11,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,Cyber_Vuln_Log,1,12,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,PMS_Review_Minutes,1,11,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,FSCA_Log,1,10,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMS_Forms_and_Registers_v1.0.xlsx,PMCF_Log,1,10,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,Overview,6,5,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,Standards_Crosswalk,12,6,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,US_FDA,6,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,EU_MDR,6,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,RU_RZN,5,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Mapping_Matrix_v1.0.xlsx,CN_NMPA,5,8,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_VV_Evidence_Matrix_v1.0.xlsx,EvidenceMatrix,34,12,no,
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_VV_Evidence_Matrix_v1.0.xlsx,Guidance,2,1,no,
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Test_Matrix_v1.0.xlsx,Clinical_Gates,10,8,yes,
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Test_Matrix_v1.0.xlsx,Bench_Gates,6,6,yes,
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Test_Matrix_v1.0.xlsx,QualityScore,4,5,yes,
