file_name,paragraph_count,table_count,heading_count,heading_preview
Submission_Build_v4.2/01_Product_QMS/Uroflow_Acceptance_Criteria_Lock_v2.0_EN.docx,24,3,6,1. Definitions | 2. G0 – Pilot start readiness (data capture) | 3. G1 – Algorithm/model readiness (accuracy + valid-rate) | 4. G2 – Submission-ready (robustness across sites/toilets) | 5. Automation implementation | 6. Change Control
Submission_Build_v4.2/01_Product_QMS/Uroflow_Acceptance_Criteria_Lock_v2.0_RU.docx,24,3,6,1. Определения | 2. G0 – Готовность к старту пилота (data capture) | 3. G1 – Готовность модели/алгоритма (accuracy + valid-rate) | 4. G2 – Submission-ready (устойчивость по сайтам/туалетам) | 5. Реализация порогов в automation | 6. Change Control
Submission_Build_v4.2/01_Product_QMS/Uroflow_Design_Review_Minutes_Templates_DR0_DR1_DR2_v1.0_EN.docx,55,13,18,DR0 – Requirements & Risk Kickoff | Attendees | Agenda / Reviewed items | Decisions | Action items | GO / NO-GO | DR1 – Design Output Readiness | Attendees | Agenda / Reviewed items | Decisions | Action items | GO / NO-GO
Submission_Build_v4.2/01_Product_QMS/Uroflow_Design_Review_Minutes_Templates_DR0_DR1_DR2_v1.0_RU.docx,55,13,18,DR0 – Requirements & Risk Kickoff | Attendees | Agenda / Reviewed items | Decisions | Action items | GO / NO-GO | DR1 – Design Output Readiness | Attendees | Agenda / Reviewed items | Decisions | Action items | GO / NO-GO
Submission_Build_v4.2/01_Product_QMS/Uroflow_IntendedUse_Claims_ByRegion_Lock_v2.0_EN.docx,29,2,7,1. Purpose | 2. Device description (v1) | 3. Claim Set A (recommended for v1 launch) | 4. Disallowed/high-risk claims (do not use) | 5. Regional intended use wording | 6. Wording guardrails for UI and marketing | 7. Change Control
Submission_Build_v4.2/01_Product_QMS/Uroflow_IntendedUse_Claims_ByRegion_Lock_v2.0_RU.docx,29,2,7,1. Назначение | 2. Описание изделия (v1) | 3. Claim Set A (рекомендуемый для запуска v1) | 4. Запрещённые/опасные claims (не использовать) | 5. Формулировки intended use по регионам | 6. Guardrails для текста интерфейса и маркетинга | 7. Change Control
Submission_Build_v4.2/01_Product_QMS/Uroflow_QMS_Execution_Plan_v1.0_EN.docx,33,1,10,1. Purpose | 2. Minimum set to start a clinical pilot | 3. Execution steps (what to do and what evidence must remain) | Step 1: Document control | Step 2: Site readiness | Step 3: Synchronous data capture | Step 4: Daily QA automation | Step 5: Freeze | 4. Design Review cadence | 5. Regional note
Submission_Build_v4.2/01_Product_QMS/Uroflow_QMS_Execution_Plan_v1.0_RU.docx,33,1,10,1. Цель | 2. Минимальный набор для запуска клинического пилота | 3. Исполнение (что сделать и что должно остаться в папке) | Шаг 1: Документ-контроль | Шаг 2: Подготовка площадок | Шаг 3: Сбор данных с синхронизацией | Шаг 4: Ежедневная QA автоматизация | Шаг 5: Freeze | 4. Design Review cadence | 5. Примечания по регионам
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_iOS_Capture_Contract_v1.0_EN.docx,30,2,6,1. Scope | 2. Record folder structure | 3. Required files and privacy classification | 4. meta.json contract (top-level keys) | 5. Synchronization rules | 6. Example meta.json (minimal)
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_iOS_Capture_Contract_v1.0_RU.docx,30,2,6,1. Область применения | 2. Структура папки записи | 3. Обязательные файлы и приватность | 4. Контракт meta.json (верхний уровень) | 5. Правила синхронизации | 6. Пример meta.json (минимальный)
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_OnDevice_Privacy_Guardrails_Spec_v1.0_EN.docx,40,0,8,Purpose | Scope | High-level requirements | Live detectors (recommended) | Decision policy | Logging schema (per record) | Integration | Security & privacy
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_OnDevice_Privacy_Guardrails_Spec_v1.0_RU.docx,40,0,8,Назначение | Область применения | Ключевые требования | LIVE-детекторы (рекомендация) | Политика решений | Схема логирования (на запись) | Интеграция | Безопасность и приватность
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_PreFreeze_Gates_Spec_v1.0_EN.docx,25,0,6,Purpose | Gate inputs | Required gates (recommended for pilot) | Outputs | Pass/Fail policy | Integration with dataset release
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_PreFreeze_Gates_Spec_v1.0_RU.docx,25,0,6,Назначение | Входы gate-проверок | Обязательные gate (рекомендация для пилота) | Выходы | Политика PASS/FAIL | Интеграция с dataset release
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_PreFreeze_Gates_Spec_v1.1_EN.docx,23,0,6,Purpose | Why this matters | Gate inputs | Required gates (recommended for pilot) | Outputs | Pass/Fail policy
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_PreFreeze_Gates_Spec_v1.1_RU.docx,23,0,6,Назначение | Зачем это нужно | Входы gate-проверок | Обязательные gates (рекомендация для пилота) | Выходы | Политика PASS/FAIL
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_Privacy_ContentGuardrails_v2_Spec_v1.0_EN.docx,43,0,12,Purpose | Scope and assumptions | Inputs | Detection modules | Face detector | Person detector | Skin heuristic | Border-leak heuristic | Sampling strategy | Outputs | Non-identifiable evidence thumbnails | Limitations
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_Privacy_ContentGuardrails_v2_Spec_v1.0_RU.docx,43,0,12,Назначение | Область применения и допущения | Входные данные | Модули детекции | Детекция лица | Детекция человека | Эвристика кожи | Эвристика утечки по границе ROI | Сэмплирование кадров | Выходы | De-identified thumbnails (только для клиники) | Ограничения
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_RecordLevel_Gates_Spec_v1.0_EN.docx,22,1,5,1. Purpose | 2. Inputs | 3. Gate definitions (per record) | 4. Inclusion rule for DatasetRelease | 5. Outputs
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_RecordLevel_Gates_Spec_v1.0_RU.docx,22,1,5,1. Назначение | 2. Входные данные | 3. Определения гейтов (на запись) | 4. Правило включения в DatasetRelease | 5. Выходы
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_StandPose_Drift_Dashboard_Spec_v1.0_EN.docx,26,0,6,Purpose | Inputs | Key KPIs | Drift detection rules (baseline-free v1) | Outputs | Recommended actions
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_StandPose_Drift_Dashboard_Spec_v1.0_RU.docx,26,0,6,Назначение | Входные данные | Ключевые KPI | Правила детекции дрейфа (v1 без baseline) | Выходы | Рекомендуемые действия
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_StandPose_QualityScore_Integration_Addendum_v1.0_EN.docx,29,0,5,Purpose | Inputs | Quality Score policy (recommended) | Acceptance criteria integration | Traceability
Submission_Build_v4.2/02_Algorithm_and_ML/Uroflow_StandPose_QualityScore_Integration_Addendum_v1.0_RU.docx,29,0,5,Назначение | Входы | Политика Quality Score (рекомендация) | Интеграция в критерии приемки | Трассируемость
Submission_Build_v4.2/05_Clinical/Uroflow_DMP_Summary_GoldenDataset_v1.0_EN.docx,15,0,4,Data sources | Data flow (high level) | Access control | Retention
Submission_Build_v4.2/05_Clinical/Uroflow_DMP_Summary_GoldenDataset_v1.0_RU.docx,15,0,4,Источники данных | Поток данных (укрупненно) | Доступ | Сроки хранения
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Privacy_Addendum_Multimodal_v1.0_EN.docx,10,0,2,Key controls | Residual risks
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Privacy_Addendum_Multimodal_v1.0_RU.docx,10,0,2,Ключевые меры | Остаточные риски
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Submission_Cover_Letter_v1.0_EN.docx,16,0,0,
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Submission_Cover_Letter_v1.0_RU.docx,16,0,0,
Submission_Build_v4.2/05_Clinical/Uroflow_GoldenDataset_Study_Synopsis_v1.0_EN.docx,20,0,6,Study objective | Study design | Population | Data collected | Privacy safeguards | Risks and benefits
Submission_Build_v4.2/05_Clinical/Uroflow_GoldenDataset_Study_Synopsis_v1.0_RU.docx,20,0,6,Цель | Дизайн | Популяция | Собираемые данные | Меры защиты данных | Риски и польза
Submission_Build_v4.2/05_Clinical/Uroflow_Onsite_SOP_GoldenDataset_v1.0_EN.docx,16,0,4,Purpose | Before the session | During the session | After the session
Submission_Build_v4.2/05_Clinical/Uroflow_Onsite_SOP_GoldenDataset_v1.0_RU.docx,16,0,4,Цель | До сессии | Во время сессии | После сессии
Submission_Build_v4.2/05_Clinical/Uroflow_Participant_Risk_Assessment_Summary_v1.0_EN.docx,10,0,2,Potential risks | Risk mitigation
Submission_Build_v4.2/05_Clinical/Uroflow_Participant_Risk_Assessment_Summary_v1.0_RU.docx,10,0,2,Потенциальные риски | Меры снижения
Submission_Build_v4.2/05_Clinical/Uroflow_PIS_ICF_GoldenDataset_v1.0_EN.docx,27,0,9,Study title | Why are you being invited? | What will happen if you take part? | What data will be recorded? | Privacy | Risks | Benefits | Voluntary participation and withdrawal | Consent statement
Submission_Build_v4.2/05_Clinical/Uroflow_PIS_ICF_GoldenDataset_v1.0_RU.docx,27,0,9,Название исследования | Почему вас приглашают? | Что будет происходить? | Какие данные записываются? | Приватность | Риски | Польза | Добровольность и отказ | Текст согласия
Submission_Build_v4.2/05_Clinical/Uroflow_Recruitment_Flyer_GoldenDataset_v1.0_EN.docx,8,0,0,
Submission_Build_v4.2/05_Clinical/Uroflow_Recruitment_Flyer_GoldenDataset_v1.0_RU.docx,8,0,0,
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_OnDevice_Privacy_Guardrails_Test_Suite_v1.0_EN.docx,30,0,5,Goal | Test environment | Evidence to collect | Execution | Pass/Fail
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_OnDevice_Privacy_Guardrails_Test_Suite_v1.0_RU.docx,30,0,5,Цель | Тестовая среда | Какие доказательства собирать | Порядок выполнения | Критерии PASS/FAIL
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_Privacy_ContentGuardrails_v2_Test_Suite_v1.0_EN.docx,24,0,6,Objective | When to run | Procedure | Command line | Pass/Fail interpretation | Evidence
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_Privacy_ContentGuardrails_v2_Test_Suite_v1.0_RU.docx,24,0,6,Цель | Когда запускать | Процедура | Запуск | Интерпретация PASS/FAIL | Evidence
Submission_Build_v4.2/11_Region_Packs/CN_NMPA/Uroflow_CN_IntendedUse_Claims_and_Reg_Considerations_v1.0_EN.docx,16,1,5,1. Device function summary | 2. Intended use (locked) | 3. Regulatory considerations (high-level) | 4. Evidence expectations | 5. Claim guardrails
Submission_Build_v4.2/11_Region_Packs/CN_NMPA/Uroflow_CN_Multimodal_Data_Profile_Addendum_v1.0_EN.docx,11,0,3,Purpose | Recommended artifact profile (CN) | Pre-freeze gates
Submission_Build_v4.2/11_Region_Packs/EU_MDR/Uroflow_EU_IntendedUse_Claims_and_Class_Rationale_v1.0_EN.docx,16,1,5,1. Device function summary | 2. Intended use (locked) | 3. MDR classification rationale (high-level) | 4. Evidence expectations | 5. Claim guardrails
Submission_Build_v4.2/11_Region_Packs/RU_Roszdravnadzor/Uroflow_RU_IntendedUse_Claims_and_Class_Rationale_v1.0_RU.docx,16,1,5,1. Краткое описание функции | 2. Intended use (LOCK) | 3. Классификация (высокоуровнево) | 4. Доказательная база | 5. Guardrails по claims
Submission_Build_v4.2/11_Region_Packs/RU_Roszdravnadzor/Uroflow_RU_Multimodal_Data_Profile_Addendum_v1.0_RU.docx,15,0,4,Цель | Рекомендованный профиль артефактов для РФ | Pre-freeze gates | Примечание по локализации
Submission_Build_v4.2/11_Region_Packs/US_FDA/Uroflow_US_IntendedUse_Claims_and_Reg_Pathway_Rationale_v1.0_EN.docx,16,1,5,1. Device function summary | 2. Intended use (locked) | 3. Regulatory pathway (high-level) | 4. Evidence expectations | 5. Claim guardrails
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_Guarded_Builder_Spec_v1.0_EN.docx,28,0,7,Purpose | Inputs | Guard condition | Release outputs | DHF Freeze logging | Versioning | Security and privacy
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_Guarded_Builder_Spec_v1.0_RU.docx,28,0,7,Назначение | Входы | Условие блокировки | Артефакты релиза | Логирование freeze в DHF | Версионирование | Безопасность и приватность
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_PreFreeze_Gates_Checklist_v1.0_EN.docx,22,0,4,Objective | Inputs required | Checklist (execute and attach evidence) | Deliverables to attach to DatasetRelease bundle
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_PreFreeze_Gates_Checklist_v1.0_RU.docx,22,0,4,Цель | Необходимые входы | Чек-лист (выполнить и приложить доказательства) | Что приложить к DatasetRelease bundle
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_PreFreeze_Gates_Checklist_v1.1_EN.docx,20,0,5,Goal | Before you start | Run required automation (must PASS) | Freeze steps | If blocked
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_PreFreeze_Gates_Checklist_v1.1_RU.docx,20,0,5,Цель | Перед началом | Запустить обязательную автоматизацию (должно быть PASS) | Шаги freeze | Если блокировано
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_RecordLevel_Filtering_Addendum_v1.0_EN.docx,18,0,3,1. What changed in v3.9 | 2. Why this matters (audit + ML stability) | 3. Implementation note
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_DatasetRelease_RecordLevel_Filtering_Addendum_v1.0_RU.docx,18,0,3,1. Что изменилось в v3.9 | 2. Зачем это нужно (аудит + стабильность ML) | 3. Примечание по реализации
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_Pilot_Freeze_Kit_Spec_v1.0_EN.docx,33,0,7,1. Scope | 2. Definitions | 3. Mandatory inputs (locked) | 4. Mandatory outputs | 5. Minimum content of the Freeze Kit (executed) | 6. Freeze rules | 7. Storage and DHF traceability
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_Pilot_Freeze_Kit_Spec_v1.0_RU.docx,33,0,7,1. Область применения | 2. Термины | 3. Обязательные входы (locked) | 4. Обязательные выходы | 5. Минимальный состав Freeze Kit (исполненный) | 6. Правила заморозки | 7. Хранение и DHF трассируемость
