module,category,file_count,size_bytes
00_README_and_Indexes,text,5,10812
00_README_and_Indexes,xlsx,5,55356
01_Product_QMS,docx,8,309017
01_Product_QMS,xlsx,4,36580
02_Algorithm_and_ML,docx,16,610298
02_Algorithm_and_ML,json,1,7137
05_Clinical,docx,16,597705
08_Privacy_and_Security,docx,4,150304
08_Privacy_and_Security,xlsx,2,14408
10_Pilot_Automation,batch,15,5054
10_Pilot_Automation,csv,2,1407
10_Pilot_Automation,json,10,5211
10_Pilot_Automation,other,6,126298
10_Pilot_Automation,python,16,145494
10_Pilot_Automation,shell,15,4670
10_Pilot_Automation,text,5,9622
11_Region_Packs,docx,6,225143
15_Dataset_Model_Release,docx,10,375745
15_Dataset_Model_Release,xlsx,2,11385
18_Golden_Dataset_MultiSite,docx,12,457036
18_Golden_Dataset_MultiSite,xlsx,6,31956
19_Ethics_Submission_Packs,docx,2,75831
19_Ethics_Submission_Packs,xlsx,1,9658
