risk_id,category,hazard,hazardous_situation,potential_harm,severity,probability,initial_risk,controls,verification,residual_probability,residual_risk,owner,status
CLN-001,CLN,False Qmax peak,Artifact spike interpreted as true Qmax,Wrong clinical interpretation,4,3,12,"End-of-void artifact detector; sigma-aware smoothing; quality flag","Unit tests + bench profiles + pilot dry-run",2,8,ML Lead,Open
CLN-002,CLN,Wrong event start/stop,Start or end boundaries shifted by noise,Incorrect voiding time and Vvoid,4,3,12,"Dual trigger audio+video onset/offset; minimum duration rule","Integration tests + annotated dataset",2,8,ML Lead,Open
CLN-003,CLN,Low-quality record accepted,Record with ROI loss still shown as valid,Potential misuse by clinician/patient,5,2,10,"valid/repeat/reject policy; runtime quality submission guard; mandatory low-quality warning","Policy/unit tests + mobile readiness checks + UI validation",1,5,Clinical Lead,Open
CLN-004,CLN,Domain shift by toilet geometry,Unseen bowl acoustics distort estimates,Systematic measurement bias,4,3,12,"Toilet-scan normalization; leave-one-toilet-out validation","Bench + holdout evaluation",2,8,ML Lead,Open
CLN-005,CLN,Non-water impact mode confusion,User aims at wall while app assumes water mode,Invalid flow estimation,4,3,12,"Impact-in-water classifier; capture mode submission guard; fallback warnings; repeat guidance","Policy/unit tests + mobile readiness checks + operator SOP drill",2,8,iOS Lead,Open
SW-001,SW,Model/config mismatch,Wrong model loaded with incompatible feature schema,Incorrect outputs,4,2,8,"Model hash + schema version checks; runtime release guard blocks incompatible schema/config","Runtime release guard unit tests + mobile readiness checks",1,4,ML Lead,Open
SW-002,SW,Regression in fusion logic,Code change alters uncertainty/quality behavior,Silent performance degradation,4,3,12,"Expanded unit/integration suite; PR required checks","CI trend + snapshot tests",2,8,ML Lead,Open
SW-003,SW,Timestamp alignment bug,Stream alignment drift exceeds threshold,Distorted Q(t) shape and metrics,4,2,8,"Runtime alignment monitor and hard reject >50ms drift","Mobile/backend alignment unit tests + smoke-log validator + readiness checks",1,4,iOS Lead,Open
UX-001,UX,Phone movement during capture,User moves device mid-session,Artifact-driven output,3,4,12,"IMU motion gate; auto-repeat recommendation","Motion simulation tests",2,6,iOS Lead,Open
UX-002,UX,Poor framing at setup,ROI does not include stable water zone,Frequent unusable recordings,3,4,12,"AR onboarding checks; green-zone confirmation","Usability sessions + SOP adherence",2,6,iOS Lead,Open
UX-003,UX,User over-trust of app,User treats app output as diagnosis,Delay or wrong care-seeking,5,2,10,"In-app pilot claims notice; hard disclaimers; report language controls via claims policy","Mobile claims readiness checks + unit tests + content review gate/audit",1,5,RA/QA Lead,Open
SEC-001,SEC,Unauthorized access,Improper role control exposes study data,Confidentiality breach,4,2,8,"Clinical Hub API key policy map; site/operator scope enforcement; periodic access review","RBAC readiness checks + backend scope tests + access audit logs/tabletop drill",1,4,Security Lead,Open
SEC-002,SEC,Data tampering,Session record altered after capture,Invalid clinical evidence trail,4,2,8,"Clinical Hub audit log plus canonical capture_payload_sha256 exports; signed artifacts remain release-governance external evidence","Digest/backfill/API/CSV integrity tests + audit export tests",1,4,Security Lead,Open
SEC-003,SEC,Vulnerability in connected component,Known vuln not patched in time,Potential compromise,4,2,8,"Patch SLA + vulnerability management + SBOM process + mobile dependency review artifact","Production npm audit summary + dependency review artifact + monthly security review",1,4,Security Lead,Open
PRV-001,PRV,Excessive raw media retention,Raw media stored without necessity,Privacy/legal non-compliance,4,3,12,"Derivatives-only default; explicit opt-in for raw data","DPIA review + retention audit",1,4,Privacy Lead,Open
PRV-002,PRV,Cross-border misconfiguration,Data routed outside required jurisdiction,Regulatory breach and enforcement risk,5,2,10,"Regional data routing policy + deployment controls","Infra audit + legal sign-off",1,5,Privacy Lead,Open
OPS-001,OPS,Operator SOP deviations,Capture protocol not followed at site,Low reproducibility and data quality,3,3,9,"Operator training; in-app SOP checklist gate; deviation log; refresher sessions","SOP checklist unit/readiness checks + site monitoring reports",2,6,Clinical Ops,Open
OPS-002,OPS,Incomplete eCRF fields,Missing critical metadata for analysis,Invalid endpoint analysis,3,3,9,"eCRF mandatory rules; mobile paired submission contract guard; lock checks","Policy/unit tests + mobile readiness checks + data management QC report",1,3,Data Manager,Open
OPS-003,OPS,No incident escalation,Security/privacy incident delayed in response,Expanded impact and non-compliance,4,2,8,"Incident SOP; named owners; response timer","Tabletop drill evidence",1,4,Security Lead,Open
