timestamp_s,true_flow_ml_s,true_volume_ml,true_level_mm,depth_level_mm,rgb_level_mm,depth_confidence
0.000000,0.000000,0.000000,0.000000,-0.061224,0.245694,0.824252
0.100000,0.100675,0.005034,0.000629,-0.118698,0.041189,0.834780
0.200000,0.284688,0.024302,0.003038,-1.215193,-0.352094,0.129535
0.300000,0.522806,0.064677,0.008085,0.300561,-0.500656,0.821105
0.400000,0.804483,0.131041,0.016380,0.223510,0.103255,0.877221
0.500000,1.123528,0.227442,0.028430,-1.412540,-0.183982,0.944054
0.600000,1.475679,0.357402,0.044675,,-0.306096,0.000000
0.700000,1.857726,0.524072,0.065509,0.416637,0.187969,0.869196
0.800000,2.267112,0.730314,0.091289,-0.167193,0.266054,0.882021
0.900000,2.701710,0.978755,0.122344,0.545005,0.619992,0.923552
1.000000,3.159696,1.271825,0.158978,-0.623649,-0.027249,0.928800
1.100000,3.639471,1.611784,0.201473,0.027897,0.454744,0.825457
1.200000,4.139600,2.000737,0.250092,-0.058896,-0.040961,0.873495
1.300000,4.658779,2.440656,0.305082,-0.092823,0.202302,0.861927
1.400000,5.195804,2.933386,0.366673,,0.360210,0.000000
1.500000,5.749557,3.480654,0.435082,0.886676,0.081251,0.300978
1.600000,6.318982,4.084080,0.510510,4.384716,0.384903,0.350000
1.700000,6.903082,4.745184,0.593148,0.423882,0.461330,0.865360
1.800000,7.500903,5.465383,0.683173,0.628713,1.094156,0.968895
1.900000,8.111532,6.246005,0.780751,0.296495,0.413213,0.870736
2.000000,8.734088,7.088286,0.886036,,0.883792,0.000000
2.100000,9.367717,7.993376,0.999172,1.230633,0.737764,0.969383
2.200000,10.011592,8.962341,1.120293,0.912789,1.131946,0.834561
2.300000,10.664906,9.996166,1.249521,0.017473,1.164962,0.240113
2.400000,11.326871,11.095755,1.386969,1.247897,1.154262,0.265718
2.500000,11.996717,12.261935,1.532742,1.255105,1.513151,0.894477
2.600000,12.673686,13.495455,1.686932,1.726200,1.818906,0.859120
2.700000,13.357038,14.796991,1.849624,2.215616,1.960756,0.966138
2.800000,14.046042,16.167145,2.020893,0.337133,1.849958,0.424206
2.900000,14.739979,17.606446,2.200806,0.628831,2.355033,0.088772
3.000000,15.438142,19.115352,2.389419,2.844333,2.595381,0.987308
3.100000,16.139832,20.694251,2.586781,2.040750,2.703039,0.852336
3.200000,16.844362,22.343460,2.792933,3.240702,2.454379,0.895332
3.300000,17.551052,24.063231,3.007904,3.964422,2.704316,0.984729
