timestamp_s,flow_ml_s
0.000000,0.000000
0.033333,22.528937
0.066667,37.581779
0.100000,57.689512
0.133333,77.797245
0.166667,92.760620
0.200000,90.339416
0.233333,90.305866
0.266667,90.305866
0.300000,90.305866
0.333333,90.378558
0.366667,90.378558
0.400000,95.467000
0.433333,90.395333
0.466667,85.323666
0.500000,80.391791
0.533333,75.163557
0.566667,55.055824
0.600000,40.019757
0.633333,24.983691
0.666667,14.879499
0.700000,0.000000
0.733333,14.885091
0.766667,29.770181
0.800000,44.655272
0.833333,59.540363
0.866667,74.425453
0.900000,79.513895
0.933333,84.479320
0.966667,84.417811
1.000000,84.484912
1.033333,84.552012
1.066667,79.402061
1.100000,74.503737
1.133333,74.632346
1.166667,74.503737
1.200000,74.503737
1.233333,74.503737
1.266667,74.503737
1.300000,74.369536
1.333333,74.363945
1.366667,74.235336
1.400000,59.411754
1.433333,44.459563
1.466667,29.641572
1.500000,14.823582
1.533333,0.000000
1.566667,14.829174
1.600000,32.224935
1.633333,52.192876
1.666667,67.077967
1.700000,81.963058
1.733333,87.101825
1.766667,84.591154
1.800000,84.585562
1.833333,89.662821
1.866667,94.740079
1.900000,89.651637
1.933333,89.646046
1.966667,89.646046
2.000000,89.646046
2.033333,89.674004
2.066667,89.830572
2.100000,95.058806
2.133333,90.138115
2.166667,85.211832
2.200000,65.221524
2.233333,65.232708
2.266667,45.124974
2.300000,30.083316
2.333333,15.047250
2.366667,15.047250
2.400000,15.047250
2.433333,15.047250
2.466667,30.088908
2.500000,50.196641
2.533333,65.243891
2.566667,65.165607
2.600000,85.273341
2.633333,90.339416
2.666667,90.339416
2.700000,95.399899
2.733333,80.430933
2.766667,80.430933
2.800000,80.430933
2.833333,80.430933
2.866667,75.348083
2.900000,95.455816
2.933333,90.372966
2.966667,90.372966
3.000000,85.312483
3.033333,85.396358
3.066667,80.173715
3.100000,65.148832
3.133333,45.041099
3.166667,29.993849
3.200000,14.885091
3.233333,0.000000
3.266667,14.885091
3.300000,29.770181
3.333333,44.649680
3.366667,64.600846
3.400000,79.485937
3.433333,84.451362
3.466667,84.518462
3.500000,84.440178
3.533333,79.441203
3.566667,79.357328
3.600000,74.459004
3.633333,74.459004
3.666667,74.609979
3.700000,74.459004
3.733333,72.110492
3.766667,57.158301
3.800000,42.206110
3.833333,27.253919
3.866667,12.452704
3.900000,0.000000
